team,seed,region,adj_off,adj_def,adj_tempo,net_rating,eFG,opp_eFG,to_rate,forced_to_rate,orb_rate,drb_rate,ft_rate,opp_ft_rate,fg3_rate,opp_fg3_rate,stl_rate,opp_stl_rate
Indiana,,,120.371,103.231,66.1343,17.1408,56.1070831009481,48.9634478996181,15.0711532330522,15.0711532330522,26.8641470888662,70.7495429616088,34.9693251533742,36.9885433715221,50.5298382598996,36.7703218767049,0.069095440976147,0.0820798191461612
Indiana State,,,106.226,109.086,68.0814,-2.8596,52.8612716763006,50.2137894174238,19.5976506718768,14.8655350218382,26.2230919765166,68.2352941176471,27.4566473988439,28.7546766435061,45.2023121387283,34.3666488508819,0.0855604748845352,0.114239963672648
Iona,,,103.981,111.711,68.8049,-7.73029,51.8694049499737,48.9075203252033,17.200640544687,16.6183271929137,27.7826468010517,68.7866108786611,29.2785676671933,28.760162601626,45.8662453923117,40.7012195121951,0.0949618696737925,0.106608136709258
Jackson State,,,100.005,118.868,69.5262,-18.8631,45.6869834710744,52.9791459781529,19.4313473353336,16.4679610314701,29.7147385103011,62.7731092436975,37.396694214876,41.8570009930487,43.2851239669422,39.7219463753724,0.0880549073148016,0.110915315944606
Jacksonville,,,103.077,114.543,63.431,-11.4658,50.0296735905045,54.7898640296663,17.1975370488976,14.9654083463858,31.6851664984864,70.8602150537634,32.7596439169139,42.7070457354759,37.3887240356083,35.2286773794808,0.0958800738124378,0.102474999524404
Jacksonville State,,,105.179,108.553,65.4179,-3.37377,49.7139224411952,49.6235884567127,17.0041275309565,16.2241216809126,29.8298298298298,71.9635627530364,43.1023521932613,38.7076537013802,38.1436745073109,42.9109159347553,0.0878806591049433,0.0899606747050603
James Madison,,,109.156,113.08,66.066,-3.92373,53.137039075399,48.9299090422686,17.3022986844008,12.7222784444123,30.6289881494986,70.5084745762712,35.9383599339571,40.7704654895666,42.4876169510182,38.1487426431247,0.0758710423594044,0.0943761746421859
Kansas City,,,92.0592,117.155,69.8612,-25.0956,45.7471943295924,56.2677254679524,18.1691472945393,16.4269002936931,26.3644773358002,64.07061266874351,29.1789722386297,31.4237095859331,36.7985823981099,38.9676687464549,0.0886057046144656,0.108517098909851
Kansas State,,,113.273,106.305,72.7009,6.96835,53.3070088845015,52.4626865671642,17.4420142986416,17.0609994231858,29.2105263157895,66.0542432195976,26.8509378084896,35.1741293532338,40.9674234945706,38.5572139303483,0.0952537188639406,0.100333917203351
Kent State,,,111.814,110.323,70.2963,1.49125,51.8587360594796,52.0744680851064,18.0884225315011,16.3322650041709,35.8391608391608,70.3637976929902,44.3441317047265,39.8404255319149,44.9814126394052,42.7127659574468,0.0908811520393379,0.0979057821486587
LSU,,,119.797,106.598,66.6827,13.1986,52.7821522309711,50.8928571428571,15.5959237926451,13.9122729286664,32.9953917050691,68.3028286189684,40.8923884514436,37.8061224489796,34.4356955380577,37.9591836734694,0.0841825431989366,0.0952591936198494
La Salle,,,105.688,111.585,65.867,-5.89755,45.3872437357631,54.951895868704,18.2142727040909,17.1457020387843,33.6879432624113,67.64705882352939,37.4715261958998,31.4657611771364,31.4920273348519,42.2184493491794,0.100542785326582,0.101028499265358
Lafayette,,,100.747,115.953,66.8212,-15.2062,49.2667794698252,53.5853251806559,15.3186789440196,15.1265951955052,25.8416742493176,71.3444553483808,32.4309080654258,30.6281267370762,39.8195149464185,38.0211228460256,0.0792345462621703,0.0787543368908844
Lamar,,,103.111,109.402,65.6478,-6.29065,47.7629285299245,50.9397278029812,18.054450343739,17.3239234512178,35.6873822975518,70.5699481865285,27.9488669378268,44.3940375891121,33.9337594421848,37.4594944912508,0.0918376664883833,0.11427527818725
Le Moyne,,,102.006,113.817,69.5782,-11.8112,52.6519666269368,49.2773019271949,19.1133280499744,14.9643373269311,25.1734390485629,70.948275862069,39.4517282479142,32.6552462526767,40.8224076281287,39.6680942184154,0.0792503845974547,0.110950538436437
Liberty,,,117.649,113.74,64.0245,3.90845,59.8139833226427,53.0746268656716,13.7408917045973,17.2289642142258,19.1037735849057,67.4273858921162,31.302116741501,26.2089552238806,48.6209108402822,37.0746268656716,0.094072258593012,0.0808598627232069
Lindenwood,,,100.495,109.003,72.4425,-8.50731,47.9508196721311,49.1199119911991,18.6700446209502,18.4418044666598,33.2465277777778,68.24686940966009,38.5792349726776,37.4037403740374,30.655737704918,32.9482948294829,0.114576557453753,0.112294155910849
Lipscomb,,,106.915,109.731,69.3943,-2.81661,54.0570175438597,53.1885651456844,16.0114905991359,17.7068248978679,25.790987535954,69.8202459791864,26.0416666666667,28.9719626168224,47.9166666666667,40.1869158878505,0.0965398697889073,0.093714312624354
Little Rock,,,102.772,115.723,66.7133,-12.9518,49.4586894586895,51.7613636363636,18.4921500822901,18.5414624825095,31.4744801512287,63.4030418250951,27.7492877492877,33.0681818181818,30.997150997151,40.3409090909091,0.111446024495935,0.106021660471796
Long Beach State,,,105.603,111.367,68.5867,-5.76445,50.6186726659168,53.6678403755869,17.9859876607759,17.5212334576551,26.2404580152672,72.2107438016529,30.7086614173228,42.2535211267606,34.7581552305962,35.3286384976526,0.0910918238116816,0.095274611639769
Longwood,,,103.47,112.596,68.506,-9.12613,49.7046662728884,53.8056930693069,19.1028648267295,19.7782186337351,34.5666991236612,72.2792607802875,41.3467217956291,42.1410891089109,34.7903130537507,42.6361386138614,0.115292542767383,0.109021400273759
Louisiana,,,100.118,113.393,63.2918,-13.2744,47.1389645776567,52.6143790849673,16.8339421451455,18.2525327753544,28.4090909090909,67.8321678321678,28.7193460490463,45.8110516934046,40.4904632152589,36.2448009506833,0.0898440732465629,0.0780224846614888
Louisiana Tech,,,102.935,105.834,64.3419,-2.89948,47.4373259052925,48.7096774193548,18.2260398386749,17.9304824358856,36.2745098039216,68.4981684981685,33.1476323119777,36.3636363636364,33.3704735376045,46.8035190615836,0.103937686647579,0.0999969212770543
Loyola Chicago,,,103.356,113.512,65.6045,-10.1561,49.8046875,52.0249221183801,19.758293268542,12.9277000040113,30.4659498207885,70.304114490161,34.765625,33.6448598130841,47.7120535714286,44.2886812045691,0.0614294964729613,0.108647691523073
Loyola Maryland,,,104.24,119.059,68.2602,-14.8186,50.4424778761062,54.6972269383135,15.4954824893829,15.3029920236763,27.5893675527039,70.98393574297191,29.8672566371681,32.7108092812677,47.2345132743363,39.5585738539898,0.0885456142250454,0.0866207095679792
Loyola Marymount,,,106.507,105.812,67.0108,0.69567,51.8466703973139,48.8617886178862,17.5087485224068,16.5724518099786,26.6666666666667,67.9856115107914,31.0576385002798,32.4661246612466,40.4029099048685,36.2059620596206,0.0870755942558197,0.0903526327493183
Maine,,,91.6109,111.952,64.7857,-20.3409,49.5757180156658,50.6455399061033,19.100438961911,19.3988833206909,19.7979797979798,65.7114624505929,38.3812010443864,33.9201877934272,37.0104438642298,36.7957746478873,0.119377743511944,0.0950047875449221
Manhattan,,,104.408,120.875,67.9116,-16.467,47.8653530377668,53.9311408016444,15.6259137533772,16.6551655574919,28.5714285714286,63.0414746543779,34.0448823207444,25.693730729702,37.1100164203612,38.0267214799589,0.11274985672347,0.0823401443291734
Marist,,,99.5711,102.653,66.3875,-3.08209,49.3394600804136,45.593635250918,16.9247187014397,19.4709153202404,29.1139240506329,71.7350746268657,25.6748994830557,37.5764993880049,34.5778288340034,36.780905752754,0.106341152902851,0.0998508477961046
Marquette,,,111.834,102.195,68.9327,9.63881,50.4861821903787,50.5693581780538,16.001675106485,19.3078063268331,29.7071129707113,65.3133274492498,32.7533265097236,32.0393374741201,42.0675537359263,39.648033126294,0.131804431317879,0.096979849130212
